time,size,
44,154344,I
44.066,10101,P
44.133,1795,P
44.2,1649,P
44.266,1491,P
44.333,1591,P
44.4,1610,P
44.466,1527,P
44.533,1471,P
44.6,1610,P
44.666,1745,P
44.733,1897,P
44.8,1767,P
44.866,1736,P
44.933,1791,P
45,1705,P
45.066,1700,P
45.133,1621,P
45.2,1576,P
45.266,1765,P
45.333,1875,P
45.4,1798,P
45.466,1730,P
45.533,1621,P
45.6,4707,P
45.666,9918,P
45.733,8676,P
45.8,11538,P
45.866,26734,P
45.933,7332,P
47.933,9146,P
48,154431,I
48.066,8406,P
48.133,3223,P
48.2,3015,P
48.266,3134,P
48.333,3532,P
48.4,4147,P
48.466,3254,P
48.533,3098,P
48.6,2975,P
48.666,3683,P
48.733,3042,P
48.8,2883,P
48.866,2834,P
48.933,3361,P
49,3044,P
49.066,3556,P
49.133,3173,P
49.2,3063,P
49.266,2813,P
49.333,2921,P
49.4,2868,P
49.466,2951,P
49.533,3413,P
49.6,3226,P
49.666,3015,P
49.733,2801,P
49.8,3451,P
49.866,2927,P
49.933,7230,P
50,154740,I
50.066,10132,P
50.133,1839,P
50.2,1495,P
50.266,1536,P
50.333,1590,P
50.4,1461,P
50.466,1467,P
50.533,1590,P
50.6,1588,P
50.666,1727,P
50.733,1850,P
50.8,1706,P
50.866,1729,P
50.933,1562,P
51,1652,P
51.066,1616,P
51.133,1523,P
51.2,1604,P
51.266,1555,P
51.333,1771,P
51.4,1871,P
51.466,1863,P
51.533,1642,P
51.6,4698,P
51.666,10126,P
51.733,9209,P
51.8,11273,P
51.866,26986,P
51.933,7458,P
53.933,1669,P
54,154609,I
54.066,4441,P
54.133,3628,P
54.2,3210,P
54.266,3113,P
54.333,3574,P
54.4,4354,P
54.466,3473,P
54.533,3139,P
54.6,3041,P
54.666,3088,P
54.733,2831,P
54.8,3632,P
54.866,3093,P
54.933,3363,P
55,3178,P
55.066,3023,P
55.133,2985,P
55.2,2833,P
55.266,2852,P
55.333,3469,P
55.4,3093,P
55.466,3400,P
55.533,3578,P
55.6,3424,P
55.666,3060,P
55.733,3244,P
55.8,2986,P
55.866,2784,P
55.933,2815,P
56,139466,I
56.066,7340,P
56.133,2454,P
56.2,2265,P
56.266,2071,P
56.333,1887,P
56.4,1765,P
56.466,1892,P
56.533,1975,P
56.6,1897,P
56.666,2024,P
56.733,2005,P
56.8,1899,P
56.866,1799,P
56.933,1734,P
57,1927,P
57.066,1799,P
57.133,1624,P
57.2,1937,P
57.266,1711,P
57.333,2090,P
57.4,1860,P
57.466,1615,P
57.533,1780,P
57.6,5273,P
57.666,10615,P
57.733,10314,P
57.8,15106,P
57.866,9069,P
